Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Exit Date,Exit Date Precision,Announced Date,Announced Date Precision,IPO Date,Website,Twitter,LinkedIn
Coinbase,https://www.crunchbase.com/organization/coinbase,,"Bitcoin, Blockchain, Cryptocurrency, FinTech, Trading Platform","San Francisco, California, United States","Coinbase is a crypto exchange and wallet platform that allows merchants and consumers to buy, sell, and store digital currencies.",16,2021-04-14,day,,,2021-04-14,https://www.coinbase.com,https://x.com/coinbase,https://www.linkedin.com/company/coinbase
Robinhood,https://www.crunchbase.com/organization/robinhood,,"Cryptocurrency, FinTech, Stock Exchanges, Trading Platform","Menlo Park, California, United States","Robinhood is a stock brokerage that allows customers to buy and sell stocks, options, ETFs, and cryptocurrencies with zero commission.",543,2021-07-29,day,,,2021-07-29,https://www.robinhood.com,http://twitter.com/robinhoodapp,https://www.linkedin.com/company/robinhood
IREN,https://www.crunchbase.com/organization/iris-energy-fc5a,,"Bitcoin, Cryptocurrency, Data Center, Data Storage, Hydroelectric","Sydney, New South Wales, Australia",IREN is a data center that provides Bitcoin mining and GPUs services using renewable energy.,"4,620",2021-11-17,day,,,2021-11-17,https://irisenergy.co/,https://x.com/IREN_Ltd,https://www.linkedin.com/company/iren/
Marqeta,https://www.crunchbase.com/organization/marqeta,,"Credit Cards, Cryptocurrency, Debit Cards, FinTech, Payments","Oakland, California, United States",Marqeta is a card issuing platform that provides infrastructure and tools to help companies build and manage payment programs.,"5,867",2021-06-09,day,,,2021-06-09,https://www.marqeta.com,https://www.twitter.com/marqeta,https://www.linkedin.com/company/marqeta
X (formerly Twitter),https://www.crunchbase.com/organization/twitter,,"Blogging Platforms, Social Media, Social Network, Web3","Bastrop, Texas, United States",X is a social networking platform that allows its users to send and read microblogs.,"6,221",2013-11-07,day,2025-03-28,day,2013-11-07,https://x.com,https://x.com/X,https://www.linkedin.com/company/x-corp
Heap,https://www.crunchbase.com/organization/heap,,"Analytics, Business Intelligence, Enterprise Software, Productivity Tools, Smart Contracts, Software","San Francisco, California, United States",Heap is a platform that provides analytics infrastructure to reduce the annoying parts of user analytics.,"7,829",2023-09-28,day,2023-09-28,day,,https://heap.io,http://twitter.com/heap,https://www.linkedin.com/company/heap-inc-
Animoca Brands,https://www.crunchbase.com/organization/animoca-brands-corporation,,"Apps, Blockchain, Casual Games, Developer Platform, Metaverse, Video Games","Cyberport, Hong Kong Island, Hong Kong",Animoca Brands is a metaverse and gaming company focused on driving digital property rights through NFTs.,"9,135",2015-01-23,day,,,2015-01-23,https://www.animocabrands.com,https://x.com/animocabrands,https://www.linkedin.com/company/animoca-brands
Block,https://www.crunchbase.com/organization/square,,"Bitcoin, FinTech, Mobile Payments, Productivity Tools, Retail Technology","San Francisco, California, United States","Block, Inc. (NYSE: SQ) (formerly Square, Inc.) is a technology company with a focus on financial services.","9,607",2015-11-19,day,,,2015-11-19,https://block.xyz,https://twitter.com/blocks,https://www.linkedin.com/company/joinblock
Nebula Genomics,https://www.crunchbase.com/organization/nebula-genomics,,"Biotechnology, Blockchain, Genetics, Health Care","San Francisco, California, United States",Nebula Genomics leverages blockchain technology to eliminate middlemen and empower people to own their personal genomic data.,"24,906",2021-08-11,day,2021-08-11,day,,https://www.nebula.org,https://twitter.com/NebulaGenomics,https://www.linkedin.com/company/18466471/
DMG Blockchain Solutions,https://www.crunchbase.com/organization/dmg-blockchain-solutions,,"Blockchain, Cryptocurrency, Financial Services","Vancouver, British Columbia, Canada",DMG Blockchain Solutions is a full service diversified blockchain and cryptocurrency company.,"38,175",2018-02-13,day,,,2018-02-13,https://dmgblockchain.com,https://twitter.com/dmgblockchain,https://www.linkedin.com/company/dmgblockchain
