Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Exit Date,Exit Date Precision,Announced Date,Announced Date Precision,IPO Date,Website,Twitter,LinkedIn,Top 5 Investors
Coinbase,https://www.crunchbase.com/organization/coinbase,,"Bitcoin, Blockchain, Cryptocurrency, FinTech, Trading Platform","San Francisco, California, United States","Coinbase is a crypto exchange and wallet platform that allows merchants and consumers to buy, sell, and store digital currencies.",15,2021-04-14,day,,,2021-04-14,https://www.coinbase.com,https://x.com/coinbase,https://www.linkedin.com/company/coinbase,"Andreessen Horowitz, Y Combinator, Wellington Management, Draper Associates, Union Square Ventures"
Robinhood,https://www.crunchbase.com/organization/robinhood,,"Cryptocurrency, FinTech, Stock Exchanges, Trading Platform","Menlo Park, California, United States","Robinhood is a stock brokerage that allows customers to buy and sell stocks, options, ETFs, and cryptocurrencies with zero commission.",191,2021-07-29,day,,,2021-07-29,https://www.robinhood.com,http://twitter.com/robinhoodapp,https://www.linkedin.com/company/robinhood,"Andreessen Horowitz, Sequoia Capital, LocalGlobe, Index Ventures, Thrive Capital"
WonderFi,https://www.crunchbase.com/organization/defi-ventures,,"Bitcoin, Blockchain, Ethereum, Finance, Information Technology","Toronto, Ontario, Canada","WonderFi is a digital asset platform that develops, incubates, and invests in centralized and EVM-compatible decentralized products.",564,2021-09-03,day,2025-05-13,day,2021-09-03,https://www.wonder.fi,https://www.twitter.com/WonderFi,https://www.linkedin.com/company/wonderfi,"Animal Capital, Argo Blockchain, Canaccord Genuity Group, Bigg Digital Assets, Alameda Research"
Bitdeer Technologies Group,https://www.crunchbase.com/organization/bitdeer,,"Blockchain, Cloud Computing, Cryptocurrency, Information Technology","Singapore, Central Region, Singapore",Bitdeer is a provider of digital asset mining services for blockchain and high-performance computing.,"1,240",2023-04-14,day,,,2023-04-14,https://www.bitdeer.com,https://twitter.com/BitDeerOfficial,https://www.linkedin.com/company/bitdeer-group/,"Matrixport, Tether Operations Limited, Genimous"
Bakkt,https://www.crunchbase.com/organization/bakkt,,"Cryptocurrency, Financial Services, FinTech, Loyalty Programs","Alpharetta, Georgia, United States","Bakkt is a trusted digital asset platform that enables its customers to buy, sell, spend, send, and redeem digital assets.","1,579",2021-10-18,day,,,2021-10-18,https://www.bakkt.com,https://twitter.com/Bakkt,https://www.linkedin.com/company/bakkt/,"Pantera Capital, CMT Digital, Galaxy Digital, M12 - Microsoft's Venture Fund, SGH CAPITAL"
Bitget Wallet,https://www.crunchbase.com/organization/bitkeep,,"Bitcoin, Cryptocurrency, Finance, FinTech","Grand Cayman, Midland, Cayman Islands",Bitget Wallet is a decentralized multi-chain digital wallet that provides safe and convenient digital asset management services to users.,"2,295",2023-03-22,day,2023-03-22,day,,https://web3.bitget.com/en,https://twitter.com/BitKeepOS,https://www.linkedin.com/company/bitkeep,"Bitget, Arcanum Capital, Matrixport, DHVC, Foresight Ventures"
HTX,https://www.crunchbase.com/organization/huobi,,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech","Beijing, Beijing, China","HTX is a blockchain asset financial services provider, including exchange, trade, wallet, and storage.","2,299",2022-10-07,day,2022-10-07,day,,https://www.huobi.com,,https://www.linkedin.com/company/htxglobalofficial,"ZhenFund, Node Capital, Karnika Yashwant"
Cipher Mining,https://www.crunchbase.com/organization/cipher-mining,,"Bitcoin, Blockchain, Cryptocurrency","Rye, New York, United States",Cipher Mining is an industrial-scale Bitcoin mining company dedicated to expanding and strengthening the Bitcoin network's infrastructure.,"2,623",2021-08-30,day,,,2021-08-30,https://www.ciphermining.com,https://twitter.com/cipherinc,https://www.linkedin.com/company/cipher-mining,"Fidelity, SoftBank, Bitfury Group, Counterpoint Global"
Banxa,https://www.crunchbase.com/organization/banxa,,"Compliance, Cryptocurrency, Financial Services, FinTech, Software","Melbourne, Victoria, Australia",Banxa is the world's first listed RegTech and Payment Service Provider (PSP) for the digital asset industry,"2,762",2021-01-06,day,,,2021-01-06,https://banxa.com/,https://twitter.com/BanxaOfficial,https://www.linkedin.com/company/banxa-com/about/,"KuCoin, NGC Ventures, OK Group, Huobi Capital, Thorney Investment"
Fold,https://www.crunchbase.com/organization/card-for-coin,,"Apps, Bitcoin, Gift Card, Internet, Mobile Payments","Atlanta, Georgia, United States","Fold is a financial services company specializing in Bitcoin, offering products that provide access to Bitcoin investment opportunities.","3,392",2025-02-14,day,,,2025-02-14,https://foldapp.com,https://twitter.com/fold_app,https://www.linkedin.com/company/card-for-coin,"Craft Ventures, Bessemer Venture Partners, Slow Ventures, Bossa Invest, Goldcrest Capital"
Digital Asset,https://www.crunchbase.com/organization/digital-asset-2,,"Blockchain, Cryptocurrency, Developer Platform, Developer Tools, Finance, Financial Services, FinTech, Software","New York, New York, United States","Digital Asset develops ledger technology intended to build distributed, encrypted straight-through processing tools.","4,221",2021-06-01,day,2021-06-01,day,,http://www.digitalasset.com,https://twitter.com/digitalassetcom,https://www.linkedin.com/company/digital-asset-holdings-llc/,"Citi, Goldman Sachs, IBM, Salesforce Ventures, Eldridge Industries"
RTFKT,https://www.crunchbase.com/organization/rtfkt,,"Cryptocurrency, Fashion, Shoes","South Jordan, Utah, United States",RTFKT is a developer of custom sneakers designed for video game enthusiasts.,"4,738",2021-12-13,day,2021-12-13,day,,https://rtfkt.com/,https://twitter.com/RTFKTstudios,https://www.linkedin.com/company/rtfkt/,"Andreessen Horowitz, Long Journey Ventures, Shrug Capital, GFR Fund, Galaxy Interactive"
Marqeta,https://www.crunchbase.com/organization/marqeta,,"Credit Cards, Cryptocurrency, Debit Cards, FinTech, Payments","Oakland, California, United States",Marqeta is a card issuing platform that provides infrastructure and tools to help companies build and manage payment programs.,"5,323",2021-06-09,day,,,2021-06-09,https://www.marqeta.com,https://www.twitter.com/marqeta,https://www.linkedin.com/company/marqeta,"Vitruvian Partners, Coatue, ICONIQ Growth, Spark Capital, Goldman Sachs"
Blockfolio,https://www.crunchbase.com/organization/blockfolio,,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech, Mobile Apps, Virtual Currency","Santa Monica, California, United States",Blockfolio offers mobile portfolio tracking and management for the cryptocurrency and blockchain industry.,"6,327",2020-08-25,day,2020-08-25,day,,http://www.blockfolio.com/,https://www.twitter.com/blockfolio,https://www.linkedin.com/company/blockfolio,"Mayfield Fund, Founders Fund, Playground Global, Abstract, Pantera Capital"
Airfox,https://www.crunchbase.com/organization/airfox,,"Banking, Cryptocurrency, Financial Services, FinTech, Mobile, Wireless","Boston, Massachusetts, United States",Airfox provides the financially underserved in emerging markets digital access to financial services.,"6,376",2020-05-23,day,2020-05-23,day,,https://airfox.com/,https://twitter.com/_airfox,https://www.linkedin.com/company/airfox/,"Techstars, One Way Ventures, Right Side Capital Management, LaunchCapital, Bantam Group"
Slingshot Finance,https://www.crunchbase.com/organization/slingshot-finance,,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Software","San Francisco, California, United States",Slingshot is a web3 company developing and using decentralized technologies to help users interact with digital assets,"6,721",2025-04-09,day,2025-04-09,day,,https://slingshot.app/,https://twitter.com/SlingshotCrypto,https://www.linkedin.com/company/slingshot-finance,"Robot Ventures, Coinbase Ventures, K5 Global, Framework Ventures, Ribbit Capital"
Neptune Digital Assets,https://www.crunchbase.com/organization/neptune-dash-nodes,,"Blockchain, Computer, FinTech","Vancouver, British Columbia, Canada","Neptune Digital Assets is a publicly traded company that manages cryptocurrency assets, Bitcoin mining, DeFi, and blockchain nodes.","7,376",2020-12-21,day,,,2020-12-21,https://www.neptunedigitalassets.com/,https://twitter.com/NeptuneDAC,https://www.linkedin.com/company/neptunedigitalassets/,"Sygnum, Alumina Partners"
Valour(Acquired by DeFi Technologies),https://www.crunchbase.com/organization/valour,,"Asset Management, Bitcoin, Blockchain, Cryptocurrency, Financial Services","Zug, Zug, Switzerland",Valour Structured Products focused on issuing Exchange Traded Products with a focus on Digital Assets.,"7,456",2021-03-23,day,2021-03-23,day,,https://valour.com,https://twitter.com/ValourGlobal,https://www.linkedin.com/company/valourglobal/,Valour
X (formerly Twitter),https://www.crunchbase.com/organization/twitter,,"Blogging Platforms, Social Media, Social Network, Web3","Bastrop, Texas, United States",X is a social networking platform that allows its users to send and read microblogs.,"7,583",2013-11-07,day,2025-03-28,day,2013-11-07,https://x.com,https://x.com/X,https://www.linkedin.com/company/x-corp,"Andreessen Horowitz, Insight Partners, Sequoia Capital, Union Square Ventures, IVP"
Heap,https://www.crunchbase.com/organization/heap,,"Analytics, Business Intelligence, Enterprise Software, Productivity Tools, Smart Contracts, Software","San Francisco, California, United States",Heap is a platform that provides analytics infrastructure to reduce the annoying parts of user analytics.,"7,711",2023-09-28,day,2023-09-28,day,,https://heap.io,http://twitter.com/heap,https://www.linkedin.com/company/heap-inc-,"Y Combinator, Menlo Ventures, Pear VC, New Enterprise Associates, DTCP"
Coins.ph,https://www.crunchbase.com/organization/coins-ph,,"Bitcoin, Blockchain, Financial Services, FinTech, Mobile Payments","Pasig, Rizal, Philippines",Coins.ph is a crypto asset management that provides buy and sell a variety of different cryptocurrencies and various financial services.,"8,906",2019-01-18,day,2019-01-18,day,,https://coins.ph,https://x.com/coinsph,http://www.linkedin.com/company/coins-ph,"Quona Capital, Global Brain Corporation, Ribbit Capital, Pantera Capital, Innovation Endeavors"
