Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Announced Date,Announced Date Precision,IPO Date,Website,Twitter,LinkedIn,Top 5 Investors
Coinbase,https://www.crunchbase.com/organization/coinbase,"Bitcoin, Blockchain, Cryptocurrency, FinTech, Trading Platform","San Francisco, California, United States","Coinbase is a crypto exchange and wallet platform that allows merchants and consumers to buy, sell, and store digital currencies.",15,,,2021-04-14,https://www.coinbase.com,https://x.com/coinbase,https://www.linkedin.com/company/coinbase,"Andreessen Horowitz, Y Combinator, Wellington Management, Draper Associates, Union Square Ventures"
Robinhood,https://www.crunchbase.com/organization/robinhood,"Cryptocurrency, FinTech, Stock Exchanges, Trading Platform","Menlo Park, California, United States","Robinhood is a stock brokerage that allows customers to buy and sell stocks, options, ETFs, and cryptocurrencies with zero commission.",191,,,2021-07-29,https://www.robinhood.com,http://twitter.com/robinhoodapp,https://www.linkedin.com/company/robinhood,"Andreessen Horowitz, Sequoia Capital, LocalGlobe, Index Ventures, Thrive Capital"
WonderFi,https://www.crunchbase.com/organization/defi-ventures,"Bitcoin, Blockchain, Ethereum, Finance, Information Technology","Toronto, Ontario, Canada","WonderFi is a digital asset platform that develops, incubates, and invests in centralized and EVM-compatible decentralized products.",564,2025-05-13,day,2021-09-03,https://www.wonder.fi,https://www.twitter.com/WonderFi,https://www.linkedin.com/company/wonderfi,"Animal Capital, Argo Blockchain, Canaccord Genuity Group, Bigg Digital Assets, Alameda Research"
Bakkt,https://www.crunchbase.com/organization/bakkt,"Cryptocurrency, Financial Services, FinTech, Loyalty Programs","Alpharetta, Georgia, United States","Bakkt is a trusted digital asset platform that enables its customers to buy, sell, spend, send, and redeem digital assets.","1,579",,,2021-10-18,https://www.bakkt.com,https://twitter.com/Bakkt,https://www.linkedin.com/company/bakkt/,"Pantera Capital, CMT Digital, Galaxy Digital, M12 - Microsoft's Venture Fund, SGH CAPITAL"
Bridge,https://www.crunchbase.com/organization/bridge-05d0,"Cryptocurrency, Developer Tools, Financial Services, FinTech, Software","San Antonio, Texas, United States",Bridge is developer of an application programming interface for money movement within the financial technology sector.,"1,970",2024-10-20,day,,https://www.bridge.xyz,https://x.com/StableCoin,https://www.linkedin.com/company/bridge-apis,"Sequoia Capital, Index Ventures, Haun Ventures, Ribbit Capital, Diogo Mónica"
Bitget Wallet,https://www.crunchbase.com/organization/bitkeep,"Bitcoin, Cryptocurrency, Finance, FinTech","Grand Cayman, Midland, Cayman Islands",Bitget Wallet is a decentralized multi-chain digital wallet that provides safe and convenient digital asset management services to users.,"2,295",2023-03-22,day,,https://web3.bitget.com/en,https://twitter.com/BitKeepOS,https://www.linkedin.com/company/bitkeep,"Bitget, Arcanum Capital, Matrixport, DHVC, Foresight Ventures"
Banxa,https://www.crunchbase.com/organization/banxa,"Compliance, Cryptocurrency, Financial Services, FinTech, Software","Melbourne, Victoria, Australia",Banxa is the world's first listed RegTech and Payment Service Provider (PSP) for the digital asset industry,"2,762",,,2021-01-06,https://banxa.com/,https://twitter.com/BanxaOfficial,https://www.linkedin.com/company/banxa-com/about/,"KuCoin, NGC Ventures, OK Group, Huobi Capital, Thorney Investment"
Digital Asset,https://www.crunchbase.com/organization/digital-asset-2,"Blockchain, Cryptocurrency, Developer Platform, Developer Tools, Finance, Financial Services, FinTech, Software","New York, New York, United States","Digital Asset develops ledger technology intended to build distributed, encrypted straight-through processing tools.","4,221",2021-06-01,day,,http://www.digitalasset.com,https://twitter.com/digitalassetcom,https://www.linkedin.com/company/digital-asset-holdings-llc/,"Citi, Goldman Sachs, IBM, Salesforce Ventures, Eldridge Industries"
RTFKT,https://www.crunchbase.com/organization/rtfkt,"Cryptocurrency, Fashion, Shoes","South Jordan, Utah, United States",RTFKT is a developer of custom sneakers designed for video game enthusiasts.,"4,738",2021-12-13,day,,https://rtfkt.com/,https://twitter.com/RTFKTstudios,https://www.linkedin.com/company/rtfkt/,"Andreessen Horowitz, Long Journey Ventures, Shrug Capital, GFR Fund, Galaxy Interactive"
Marqeta,https://www.crunchbase.com/organization/marqeta,"Credit Cards, Cryptocurrency, Debit Cards, FinTech, Payments","Oakland, California, United States",Marqeta is a card issuing platform that provides infrastructure and tools to help companies build and manage payment programs.,"5,323",,,2021-06-09,https://www.marqeta.com,https://www.twitter.com/marqeta,https://www.linkedin.com/company/marqeta,"Vitruvian Partners, Coatue, ICONIQ Growth, Spark Capital, Goldman Sachs"
Blockfolio,https://www.crunchbase.com/organization/blockfolio,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech, Mobile Apps, Virtual Currency","Santa Monica, California, United States",Blockfolio offers mobile portfolio tracking and management for the cryptocurrency and blockchain industry.,"6,327",2020-08-25,day,,http://www.blockfolio.com/,https://www.twitter.com/blockfolio,https://www.linkedin.com/company/blockfolio,"Mayfield Fund, Founders Fund, Playground Global, Abstract, Pantera Capital"
Airfox,https://www.crunchbase.com/organization/airfox,"Banking, Cryptocurrency, Financial Services, FinTech, Mobile, Wireless","Boston, Massachusetts, United States",Airfox provides the financially underserved in emerging markets digital access to financial services.,"6,376",2020-05-23,day,,https://airfox.com/,https://twitter.com/_airfox,https://www.linkedin.com/company/airfox/,"Techstars, One Way Ventures, Right Side Capital Management, LaunchCapital, Bantam Group"
X (formerly Twitter),https://www.crunchbase.com/organization/twitter,"Blogging Platforms, Social Media, Social Network, Web3","Bastrop, Texas, United States",X is a social networking platform that allows its users to send and read microblogs.,"7,583",2025-03-28,day,2013-11-07,https://x.com,https://x.com/X,https://www.linkedin.com/company/x-corp,"Andreessen Horowitz, Insight Partners, Sequoia Capital, Union Square Ventures, IVP"
Heap,https://www.crunchbase.com/organization/heap,"Analytics, Business Intelligence, Enterprise Software, Productivity Tools, Smart Contracts, Software","San Francisco, California, United States",Heap is a platform that provides analytics infrastructure to reduce the annoying parts of user analytics.,"7,711",2023-09-28,day,,https://heap.io,http://twitter.com/heap,https://www.linkedin.com/company/heap-inc-,"Y Combinator, Menlo Ventures, Pear VC, New Enterprise Associates, DTCP"
BTCS,https://www.crunchbase.com/organization/btcs,"Bitcoin, Blockchain, Information Technology","Silver Spring, Maryland, United States",BTCS is an early mover in the blockchain and digital currency ecosystems focused on digital assets and blockchain technologies.,"8,785",,,2014-03-05,http://www.btcs.com,https://twitter.com/bitcoinshopus,https://www.linkedin.com/company/bitcoinshop-us,"ATW Partners, Cavalry Fund, Charles Allen"
